,voter,vote,weight
147,osmo1qc5ufste2f45wccpwfzl2fnjlgjkx7rzzxsjh2,YES,53318596
148,osmo1qck9nr8709pgrhfjrpvgmlnz5k3k9v6l62m0h5,YES,153088519
149,osmo1qc60ztmn89hzn9w8zxd77m7lcpygcjdc2dsavp,YES,9325000000
150,osmo1qcaugnrkmzm9gkcp46kh4fge8v33542ayj3ddt,NO,7442228961
151,osmo1qeq89tylfjpj22uhhkukqtexqwxzkm94shyx2u,NO,100000000
152,osmo1qerwnwm7gy25d2sp4e70n00qhekltk5cfqzk8s,YES,24641581
153,osmo1qerjal24d9kj2rez97vs05l47258yglz62uwkv,YES,5000000
154,osmo1qerl6s6pqgvvglhf2yx6cy0sjq77ndhz4uwms0,YES,0
155,osmo1qenepajhe7kxuvn3mrtustkuchhar5xf2yhk0v,YES,21379145
156,osmo1qeua96a0v2mudxa9cv7mw4fqrw8yddrltwxvyy,NO,16163720
157,osmo1q6pj6jf4q9ytgkkazxv7aqsccwmflhwmr7sx4t,NO,0
158,osmo1q6y0uzzkm3nue956gwyg4ey73smzp00lh49c2f,YES,72650000
159,osmo1q629ypkut4ydhd0ax39q6vghnla2sga2jr4sx6,YES,290661703
160,osmo1q6wutgt57f3cycaex8q0sze53tuc99e0xzk3ze,NO,720000000
161,osmo1q64u7t9ksku0zrr5qdt8z6ahn595cf7582xqcw,NO,124500012
162,osmo1q67kfdd5uwf4vctgpqtaqqmfcn2gd0m0u7ymnd,YES,85000000
163,osmo1qm8ttsqm99uucnjqg7h2qzlrl6rxcay7eajm2q,YES,156323155
164,osmo1qm8j0dz4hc3u87zmgywq86wtwd5uswnj9zl475,YES,15037382
165,osmo1qm2lzlgdj325hd8nnrvt0tv7cxsg3lqhfmhhde,YES,1500000000
166,osmo1qmwm85yvnz6qhsl2z5g5z6ulhyk7zxktl0m7mc,VETO,1050896389
167,osmo1qmkr3pwnkk8ffzd0u5c79krry7ej98m2d4lgv7,NO,1000000
168,osmo1quqnq5fhhr85rf29yxq9wlphfx7rhjs2qxasre,YES,0
169,osmo1quxth58hehx2sfykll573h2jjumevmu4eafs2x,VETO,7432919
170,osmo1qut3jnfyyewdaxn4q6rcwc6qr9u7j8x9yg93z4,YES,4630606
171,osmo1qucm995678jju3re00dh6pkx5ahnus57sg7egj,YES,148640000
172,osmo1qum3zzx69s6f85r7zyv6s5c682qwydgvxuufpz,YES,0
173,osmo1qapsg6fjgvt2xtqjmzhzzm30es0kdrqfqhr4d7,NO,1742430
174,osmo1qayp9f5755ewka96cpat0879re00kv0m50djnc,NO,40000000
175,osmo1qa2ge9l2dkywa7ytv2lstzvkr6u0ata60skfxz,YES,211655
176,osmo1qaetatmj6tey3yv3jxvsnmht4qs89sd3zlrx7x,YES,1136090
177,osmo1q7fvden2y88lwvp8x7sptyg26pevyvset8zdx2,YES,1000000
178,osmo1q7stt0z0q4rscat7wud27r9yw0u8yfj2k7kzmh,NO,54112594
179,osmo1qly96sy3yklkwv6cf4he5ves4qu8yn58jnqsyy,YES,246000000
180,osmo1ql5d08k8tmhs6mc6pgu6k69tf5e0e6hxm4jja4,YES,308799169
181,osmo1qlaspw4lxjggzt46f8303c5t058khugkf4jea7,YES,4170999
182,osmo1pq9ys44smaf9udshq558pqvdtkt8pa39hzur7x,YES,370422848
